,Titres,Prix Broch√©,Prix Kindle,Prix Poche,Prix Reli√©,Nombre de pages Format Broch√©,Nombre de pages Format Poche,Nombre de pages Format Reli√©,Dimensions Format Broch√©,Dimensions Format Poche,Dimensions Format Reli√©,Evaluations (sur 5),Nombre d'√©valuations,Liens
137,Cuisine facile et rapide avec la friteuse à air: 100 Recettes rapides et faciles : Recettes simples et saines pour tous les jours ; Recettes saines et rapides (Livre de recettes friteuse sans huile),"9,95","3,99",None,None,133,None,None,20.32 x 0.76 x 25.4 cm,None,None,"4,0",140,https://www.amazon.fr//Cuisine-facile-rapide-avec-friteuse/dp/1083094289/ref=sr_1_183?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-183
138,SIMPLISSIME - Recettes végétariennes et vegan: Les recettes végétariennes et vegan les plus faciles du monde,None,"10,99",None,"14,95",None,None,288,None,None,20 x 3 x 26 cm,"4,5",501,https://www.amazon.fr//SIMPLISSIME-Recettes-v%C3%A9g%C3%A9tariennes-recettes-faciles/dp/2016261749/ref=sr_1_184?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-184
139,Vegan 100 recettes gourmandes,"5,95","4,49",None,None,224,None,None,17.8 x 2 x 17.8 cm,None,None,"4,5",145,https://www.amazon.fr//Vegan-100-recettes-gourmandes-Collectif/dp/2017084395/ref=sr_1_185?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-185
140,Bouddha bols !: Le bol repas qui nous vient d'Asie !,"8,95",None,None,None,96,None,None,23 x 0.8 x 23 cm,None,None,"4,5",175,https://www.amazon.fr//Bouddha-bols-repas-vient-dAsie/dp/2035949459/ref=sr_1_186?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-186
141,"Régime Charge Glycémique, Régime Express IG: La méthode ultra efficace pour perdre 10 kg et vivre 10 ans de plus ! Guide des index glycémiques + 39 Recettes IG bas ; Manger mieux pour vivre mieux !","8,99","3,99",None,None,196,None,None,20.32 x 1.14 x 25.4 cm,None,None,"3,2",8,https://www.amazon.fr//R%C3%A9gime-Charge-Glyc%C3%A9mique-Express-glyc%C3%A9miques/dp/B089249D2L/ref=sr_1_189?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-189
142,Cuisine italienne et sans gluten !,"14,00",None,None,None,119,None,None,21 x 1.2 x 20.9 cm,None,None,"4,5",34,https://www.amazon.fr//Cuisine-italienne-sans-gluten-recettes/dp/2360983520/ref=sr_1_190?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-190
143,Le jeûne intermittent: Comment brûler les graisses efficacement et perdre du poids sans souffrir de la faim,"8,99","4,95",None,None,134,None,None,12.7 x 0.79 x 20.32 cm,None,None,"4,0",132,https://www.amazon.fr//je%C3%BBne-intermittent-graisses-efficacement-souffrir/dp/B08P2C2TT3/ref=sr_1_191?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-191
144,L'intégrale des recettes illustrées Dukan pour réussir la méthode,"37,78",None,None,None,539,None,None,17.4 x 3.5 x 21.7 cm,None,None,"4,3",256,https://www.amazon.fr//Lint%C3%A9grale-recettes-illustr%C3%A9es-r%C3%A9ussir-m%C3%A9thode/dp/2081238101/ref=sr_1_192?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-192
145,Low carb. 101 recettes pauvres en glucides,"19,90","12,99",None,None,208,None,None,16.9 x 1.6 x 23.1 cm,None,None,"4,1",130,https://www.amazon.fr//Low-carb-recettes-pauvres-glucides/dp/236549207X/ref=sr_1_194?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-194
146,Mes Recettes Préférées : Cahier De Recettes Cuisine à Remplir: Livre De Recettes Personnalisé De Mes Recettes Délicieuses | Carnet De Recettes A ... |100 Fiches Recettes XXL à compléter.,"3,99",None,None,None,110,None,None,21.59 x 0.64 x 27.94 cm,None,None,"4,6",188,https://www.amazon.fr//Mes-Recettes-Pr%C3%A9f%C3%A9r%C3%A9es-Personnalis%C3%A9-D%C3%A9licieuses/dp/B088N62FS8/ref=sr_1_195?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-195
147,Petits plats du soir avec thermomix,None,"28,99",None,"29,95",None,None,288,None,None,19.5 x 3.5 x 26 cm,"4,6",209,https://www.amazon.fr//Petits-plats-soir-avec-thermomix/dp/2035954843/ref=sr_1_196?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672785&s=books&sr=1-196
148,"Mon cahier de recettes: Carnet de recettes a remplir de 117 pages pour y écrire toutes vos recettes | 55 recettes | 2 pages par recette l Grand Format 21,59 x 27,94 cm","5,99",None,None,None,117,None,None,21.59 x 0.69 x 27.94 cm,None,None,"4,6",48,https://www.amazon.fr//Mon-cahier-recettes-remplir-recette/dp/B087R82LVF/ref=sr_1_200?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-200
149,Mes recettes sans gluten aux légumineuses,"14,00",None,None,None,119,None,None,21.1 x 1.2 x 21 cm,None,None,"4,4",8,https://www.amazon.fr//Mes-recettes-sans-gluten-l%C3%A9gumineuses/dp/2360983407/ref=sr_1_202?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-202
150,Méthode Montignac 50 desserts légers pour maigrir !,"14,90",None,None,None,127,None,None,16.7 x 1.4 x 24.1 cm,None,None,"3,6",7,https://www.amazon.fr//M%C3%A9thode-Montignac-desserts-l%C3%A9gers-maigrir/dp/2359344773/ref=sr_1_203?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-203
151,Les recettes d'une connasse,"22,00","15,99",None,None,212,None,None,15.3 x 2 x 22.5 cm,None,None,"4,0",15,https://www.amazon.fr//recettes-dune-connasse-Fiona-Schmidt/dp/2016257946/ref=sr_1_205?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-205
152,Ce soir c'est bouddha bol !,"16,95",None,None,None,48,None,None,18.3 x 15.7 x 18.3 cm,None,None,"4,4",33,https://www.amazon.fr//Ce-soir-cest-bouddha-bol/dp/2035956110/ref=sr_1_206?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-206
153,Mes recettes powerbiotiques - Préservez votre microbiote - Stimulez les superpouvois,"22,90","15,99",None,None,295,None,None,16.1 x 1.8 x 23 cm,None,None,"4,6",7,https://www.amazon.fr//Mes-recettes-powerbiotiques-Marion-Kaplan/dp/2813223581/ref=sr_1_207?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-207
154,Mon livre de recettes pour le diabète,"14,99",None,None,"19,99",164,None,164,21 x 1 x 14.8 cm,None,21.6 x 1.3 x 15.3 cm,None,None,https://www.amazon.fr//Mon-livre-recettes-pour-diab%C3%A8te/dp/2322217484/ref=sr_1_210?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-210
155,Ma cuisine IG bas - super facile,"6,95",None,None,None,192,None,None,19.2 x 1.5 x 20.1 cm,None,None,"4,2",62,https://www.amazon.fr//Ma-cuisine-IG-bas-facile/dp/2263169490/ref=sr_1_211?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-211
156,Mon programme minceur | 90 jours de rééquilibrage alimentaire | Journal à Compléter |Carnet de Suivi de régime: Carnet de Suivi de régime | 90 jours pour retrouver la forme,"6,99",None,None,None,100,None,None,15.24 x 0.58 x 22.86 cm,None,None,"2,5",2,https://www.amazon.fr//programme-minceur-r%C3%A9%C3%A9quilibrage-alimentaire-Compl%C3%A9ter/dp/B08R9NJT29/ref=sr_1_212?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-212
157,"365 recettes au Thermomix - Des plus simples aux plus créatives, pour les soirs de semaine ou pour l",None,None,None,"27,00",None,None,408,None,None,23.1 x 3.3 x 29.4 cm,"4,4",261,https://www.amazon.fr//365-recettes-Thermomix-cr%C3%A9atives-week-end/dp/2263158618/ref=sr_1_213?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-213
158,Recettes à l'extracteur,"7,99","5,99",None,None,96,None,None,18.3 x 1.5 x 21 cm,None,None,"4,3",18,https://www.amazon.fr//Recettes-%C3%A0-lextracteur-Marjolaine-Daguerre/dp/2013350570/ref=sr_1_212?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-212
159,Mon cahier Minceur automne hiver new,"7,90",None,None,None,80,None,None,17.3 x 0.8 x 22 cm,None,None,"4,3",22,https://www.amazon.fr//Mon-cahier-Minceur-automne-hiver/dp/2263170480/ref=sr_1_213?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-213
160,La Méthode hépato-détox: Mincir durablement et sans danger grâce au foie,"19,90","13,99",None,None,300,None,None,15.3 x 2.4 x 24 cm,None,None,"4,3",363,https://www.amazon.fr//R%C3%A9gime-h%C3%A9pato-d%C3%A9tox-Mincir-durablement-danger/dp/2226440984/ref=sr_1_214?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-214
161,Maigrir à vue d'oeil,"20,00","13,99",None,None,266,None,None,17.3 x 1.8 x 24.1 cm,None,None,"3,8",92,https://www.amazon.fr//Maigrir-doeil-Docteur-Claude-Chauchard/dp/2813220159/ref=sr_1_215?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-215
162,"Prendre du poids enfin !: Le guide complet de prise de masse destiné aux maigres afin de gagner en muscles, prendre de la masse et grossir, atteindre son poids idéal et reprendre confiance en soi","19,00","7,49",None,None,190,None,None,15.24 x 1.09 x 22.86 cm,None,None,"5,0",1,https://www.amazon.fr//Prendre-poids-enfin-atteindre-reprendre/dp/B08YHYV9M4/ref=sr_1_216?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-216
163,Mes petites recettes magiques objectif corps de rêve,"6,00",None,None,None,190,None,None,17.8 x 1.4 x 10.9 cm,None,None,"4,2",5,https://www.amazon.fr//petites-recettes-magiques-objectif-corps/dp/B06WLHH889/ref=sr_1_217?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-217
164,150 recettes de super-jus,"6,50","4,49","6,90",None,192,192,None,12.5 x 1.2 x 17.8 cm,12.5 x 1.3 x 17.8 cm,None,"4,3",297,https://www.amazon.fr//150-recettes-super-jus-vertus-l%C3%A9gumes/dp/2501139550/ref=sr_1_218?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-218
165,Petit livre - Recettes minceur,"2,99",None,None,None,160,None,None,8.5 x 1 x 12 cm,None,None,None,None,https://www.amazon.fr//Petit-livre-Recettes-Catherine-POGGI/dp/2412034303/ref=sr_1_221?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-221
166,Bon et Sain,None,None,None,"25,90",None,None,288,None,None,20.3 x 3 x 27 cm,"4,6",46,https://www.amazon.fr//Bon-Sain-Gordon-Ramsay/dp/2017042927/ref=sr_1_222?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-222
167,Cuisiner avec un soup maker,None,"7,99",None,"9,95",None,None,208,None,None,13 x 2 x 19 cm,"4,5",900,https://www.amazon.fr//Cuisiner-avec-maker-No%C3%A9mie-Strouk/dp/2035973864/ref=sr_1_223?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-223
168,Recettes du monde avec Cookeo,"9,95","7,99",None,None,168,None,None,18.7 x 1.4 x 23.5 cm,None,None,"4,6",527,https://www.amazon.fr//Recettes-du-monde-avec-Cookeo/dp/2035970083/ref=sr_1_224?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-224
169,Boissons Détox,"5,95","4,49",None,None,224,None,None,17.8 x 2 x 17.8 cm,None,None,"3,8",7,https://www.amazon.fr//Boissons-D%C3%A9tox-Collectif/dp/2017084379/ref=sr_1_225?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-225
170,Une journée dans mon assiette Vegan,None,"14,99",None,"19,95",None,None,192,None,None,20.3 x 2.3 x 23.9 cm,"4,7",184,https://www.amazon.fr//Une-journ%C3%A9e-dans-assiette-Vegan/dp/2017084433/ref=sr_1_226?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-226
171,Smoothies et cie avec l'Ultrablend cook,"9,95","7,99",None,None,168,None,None,23.4 x 1.8 x 18.5 cm,None,None,"4,5",68,https://www.amazon.fr//Smoothies-cie-avec-lUltrablend-cook/dp/2035955823/ref=sr_1_228?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-228
172,"Mes recettes: Carnet de 100 recettes cuisine à remplir | Livre de cuisine personnalisable à faire soi-même avec vos recettes de famille | Cadeau ... de la cuisine, gourmets, cuisiniers, chefs …","6,99",None,None,None,105,None,None,21.59 x 0.61 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Mes-recettes-personnalisable-soi-m%C3%AAme-cuisiniers/dp/B08WYDVMTF/ref=sr_1_228?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-228
173,Mes recettes: livre de recettes à remplir - carnet de cuisine de 100 recettes - format A5 - 105 pages,"6,69",None,None,None,105,None,None,15.24 x 0.61 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Mes-recettes-remplir-carnet-cuisine/dp/B08N3M26G5/ref=sr_1_229?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-229
174,"Régime cétogène pour débutants, Régime keto: Défi de 28 jour pour transformer votre corps en une machine à brûler les graisses et optimiser vos performances + 60 recettes low-carb adaptées","7,99","2,99",None,None,142,None,None,15.24 x 0.81 x 22.86 cm,None,None,"3,4",7,https://www.amazon.fr//R%C3%A9gime-c%C3%A9tog%C3%A8ne-pour-d%C3%A9butants-keto/dp/B089TWR1Z2/ref=sr_1_230?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-230
175,Le Carnet du Chef: Carnet de Cuisine à remplir soi-même: le Cahier de Cuisine comporte 233 Pages pour 112 Recettes au format A4,"7,73",None,None,None,233,None,None,21.59 x 1.35 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Carnet-Chef-soi-m%C3%AAme-comporte-Recettes/dp/B08QSTG397/ref=sr_1_232?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-232
176,"Le Régime de la Thyroïde: Comment booster votre énergie, perdre du poids et activer votre métabolisme tout en maintenant l'équilibre hormonal","7,95","3,95",None,None,183,None,None,12.7 x 1.07 x 20.32 cm,None,None,"3,7",407,https://www.amazon.fr//R%C3%A9gime-Thyro%C3%AFde-m%C3%A9tabolisme-maintenant-l%C3%A9quilibre/dp/B087637DNL/ref=sr_1_233?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-233
177,"Mes recettes préférées: Carnet de 100 recettes cuisine à remplir | Livre de cuisine personnalisable à faire soi-même avec vos recettes de famille | ... de la cuisine, gourmets, cuisiniers, chefs …","6,99",None,None,None,105,None,None,21.59 x 0.61 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Mes-recettes-pr%C3%A9f%C3%A9r%C3%A9es-personnalisable-cuisiniers/dp/B08WZLYYYW/ref=sr_1_234?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-234
178,"MES 100 RECETTES CUISINE MINCEUR DESSERTS - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I","9,40",None,None,None,105,None,None,21.59 x 0.69 x 27.94 cm,None,None,None,None,https://www.amazon.fr//MES-RECETTES-CUISINE-MINCEUR-DESSERTS/dp/B08BWFVXZT/ref=sr_1_235?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-235
179,MON CARNET DE RECETTES MINCEUR - GRAND FORMAT - 100 FICHES DE RECETTES A REMPLIR:: Livre de Cuisine Personnalisable: Cahier de Recettes à Remplir - ... à Remplir - Livre de Recettes à Remplir,"4,99",None,None,None,100,None,None,21.59 x 0.58 x 27.94 cm,None,None,None,None,https://www.amazon.fr//MON-CARNET-RECETTES-MINCEUR-Personnalisable/dp/B086P9BG48/ref=sr_1_238?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-238
180,Jeûne Intermittent et Régime Cétogène: 2 livres en 1 pour perdre du poids rapidement et améliorer votre santé au quotidien avec 2 Plans de repas distincts de 28 jours + 38 Recettes brûle-graisses,"7,99","3,99",None,None,94,None,None,20.32 x 0.56 x 25.4 cm,None,None,"3,8",89,https://www.amazon.fr//Je%C3%BBne-Intermittent-R%C3%A9gime-C%C3%A9tog%C3%A8ne-br%C3%BBle-graisses/dp/B085RRTBYW/ref=sr_1_239?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-239
181,Mon journal de suivi minceur: Cahier de suivi de régime quotidien - carnet alimentation exercices et motivation - suivi perte de poids et mensurations - pour femmes,"7,99",None,None,None,100,None,None,21.59 x 0.58 x 27.94 cm,None,None,"5,0",4,https://www.amazon.fr//Mon-journal-suivi-minceur-alimentation/dp/B08BWFKDVM/ref=sr_1_240?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-240
182,Recettes minceur - Tous en cuisine !,"4,99",None,None,None,192,None,None,None,None,None,"4,2",3,https://www.amazon.fr//Recettes-minceur-Tous-en-cuisine/dp/2263160043/ref=sr_1_242?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-242
183,Deliciously Ella : ma cuisine express pour manger sain au quotidien: Batchcooking - Recettes en 10 à 30 min max - Lunchbox - 100% vegane,"19,90",None,None,None,272,None,None,18.7 x 2.4 x 23 cm,None,None,"4,5",2,https://www.amazon.fr//Deliciously-Ella-quotidien-Batchcooking-Recettes/dp/250115827X/ref=sr_1_243?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-243
184,"cahier minceur: cahier minceur pour 90 jours suivi de regime reequilibrage alimentaire , acompleter la motivation,recette, menu, ... et fitness pour perte de poids maigrir femme","5,99",None,None,None,None,None,None,None,None,None,None,None,https://www.amazon.fr//cahier-minceur-reequilibrage-alimentaire-acompleter/dp/B08YMPT2PN/ref=sr_1_452?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672805&s=books&sr=1-452
